cdk,district_name,year,geometry_ref,area_sqkm
HR_bhiwan_1981,Bhiwani,2011,HR_bhiwan_1981_geometry,0.0
JH_godda_1991,Godda,1991,JH_godda_1991_geometry,0.0
WB_medini_1951,Midnapore,1961,WB_medini_1951_geometry,0.0
MN_senapa_1991,Senapati,2011,MN_senapa_1991_geometry,0.0
MH_chandr_1961,Chandrapur,1971,MH_chandr_1961_geometry,0.0
MN_jiriba_2024,Jiribam,2024,MN_jiriba_2024_geometry,0.0
MH_satara_1951,Satara,1961,MH_satara_1951_geometry,0.0
MP_burhan_2011,Burhanpur,2011,MP_burhan_2011_geometry,0.0
MP_sehore_1971,Sehore,1971,MP_sehore_1971_geometry,0.0
SK_westdi_1981,West District,1991,SK_westdi_1981_geometry,0.0
TG_kamare_2024,Kamareddy,2024,TG_kamare_2024_geometry,0.0
KA_bangal_1981,Bangalore Rural,1991,KA_bangal_1981_geometry,0.0
KA_kodagu_1971,Coorg,1971,KA_kodagu_1971_geometry,0.0
KA_kalabu_2024,Kalaburagi,2024,KA_kalabu_2024_geometry,0.0
GJ_valsad_1971,Valsad,1991,GJ_valsad_1971_geometry,0.0
UK_hardwa_1991,Hardwar,1991,UK_hardwa_1991_geometry,0.0
AR_pakkek_2024,Pakke-Kesang,2024,AR_pakkek_2024_geometry,0.0
OD_kenduj_1981,Kendujhar,1981,OD_kenduj_1981_geometry,0.0
MH_ahmedn_1951,Ahmednagar,1971,MH_ahmedn_1951_geometry,0.0
SK_south_2001,South,2011,SK_south_2001_geometry,0.0
OD_keonjh_1971,Keonjhar,1971,OD_keonjh_1971_geometry,0.0
MH_chandr_1961,Chandrapur,1981,MH_chandr_1961_geometry,0.0
UP_siddha_1991,Siddharthnagar,1991,UP_siddha_1991_geometry,0.0
TG_sangar_2024,Sangareddy,2024,TG_sangar_2024_geometry,0.0
MH_dhule_1951,Dhule,1991,MH_dhule_1951_geometry,0.0
MH_jalgao_1951,East Khandesh,1951,MH_jalgao_1951_geometry,0.0
MN_tengno_1951,Chandel,1991,MN_tengno_1951_geometry,0.0
AR_mishmi_1951,Mishmi Hills,1951,AR_mishmi_1951_geometry,0.0
AP_visakh_1961,Visakhapatnam,2011,AP_visakh_1961_geometry,0.0
UK_uttark_1961,Uttarkashi,1981,UK_uttark_1961_geometry,0.0
DL_south_2001,South,2011,DL_south_2001_geometry,0.0
MP_sagar_1951,Sagar,1951,MP_sagar_1951_geometry,0.0
JK_ladakh_1961,Ladakh,1991,JK_ladakh_1961_geometry,0.0
UP_mirzap_1981,Mirzapur,1981,UP_mirzap_1981_geometry,0.0
OD_baudh_1951,Baudh Khondmals,1971,OD_baudh_1951_geometry,0.0
BR_jehana_1991,Jehanabad,2001,BR_jehana_1991_geometry,0.0
HR_kuruks_1981,Kurukshetra,1981,HR_kuruks_1981_geometry,0.0
HR_rohtak_1951,Rohtak,1991,HR_rohtak_1951_geometry,0.0
PB_faridk_1981,Faridkot,1991,PB_faridk_1981_geometry,0.0
HR_guruga_1951,Gurgaon,2001,HR_guruga_1951_geometry,0.0
SK_gangto_2024,Gangtok,2024,SK_gangto_2024_geometry,0.0
AS_bongai_1991,Bongaigaon,2001,AS_bongai_1991_geometry,0.0
WB_northt_1991,North Twenty Four Parganas,1991,WB_northt_1991_geometry,0.0
TR_gomati_2024,Gomati,2024,TR_gomati_2024_geometry,0.0
PB_firozp_1951,Ferozepur,1961,PB_firozp_1951_geometry,0.0
BR_kaimur_2001,Kaimur (Bhabua),2001,BR_kaimur_2001_geometry,0.0
MH_dharas_1981,Osmanabad,2011,MH_dharas_1981_geometry,0.0
MH_satara_1951,Satara South,1951,MH_satara_1951_geometry,0.0
KL_malapp_1951,Malappuram,1971,KL_malapp_1951_geometry,0.0
GJ_junaga_1951,Junagadh,2011,GJ_junaga_1951_geometry,0.0
MP_gwalio_1961,Gwalior,1961,MP_gwalio_1961_geometry,0.0
TG_nalgon_2011,Nalgonda,2011,TG_nalgon_2011_geometry,0.0
MH_gondia_2001,Gondiya,2001,MH_gondia_2001_geometry,0.0
JH_khunti_2011,Khunti,2011,JH_khunti_2011_geometry,0.0
TN_krishn_2011,Krishnagiri,2011,TN_krishn_2011_geometry,0.0
TN_tirune_1981,Tirunelveli Kattabomman,1991,TN_tirune_1981_geometry,0.0
TN_tiruva_1991,Tiruvanamalai,2001,TN_tiruva_1991_geometry,0.0
MN_thouba_1991,Thoubal,1991,MN_thouba_1991_geometry,0.0
KL_kollam_1951,Quilon,1981,KL_kollam_1951_geometry,0.0
TN_narcot_1981,North Arcot Ambedkar,1991,TN_narcot_1981_geometry,0.0
MP_bhilsa_1951,Bhilsa,1951,MP_bhilsa_1951_geometry,0.0
HR_bhiwan_1981,Bhiwani,1981,HR_bhiwan_1981_geometry,0.0
TG_wanapa_2024,Wanaparthy,2024,TG_wanapa_2024_geometry,0.0
MH_buldan_1951,Buldhana,1961,MH_buldan_1951_geometry,0.0
AN_nicoba_1981,Nicobars,2001,AN_nicoba_1981_geometry,0.0
BR_darbha_1971,Darbhanga,1971,BR_darbha_1971_geometry,0.0
KL_thiruv_1951,Thiruvananthapuram,1991,KL_thiruv_1951_geometry,0.0
AP_sripot_1971,Nellore,2001,AP_sripot_1971_geometry,0.0
TN_virudh_2001,Virudhunagar,2001,TN_virudh_2001_geometry,0.0
KA_kodagu_1971,Kodagu,1981,KA_kodagu_1971_geometry,0.0
BR_katiha_1981,Katihar,1981,BR_katiha_1981_geometry,0.0
TN_karur_2001,Karur,2001,TN_karur_2001_geometry,0.0
